id,keyword,text,target,country,region,sub-region
2,ablaze,Arsonist sets cars ablaze at dealership https://t.co/gOQvyJbpVI,1,United States,Americas,Northern America
3,ablaze,Arsonist sets cars ablaze at dealership https://t.co/0gL7NUCPlb https://t.co/u1CcBhOWh9,1,United States,Americas,Northern America
6,ablaze,"Several houses have been set ablaze in Ngemsibaa village, Oku sub division in the North West Region of Cameroon by… https://t.co/99uHGAzxy2",1,United Kingdom,Europe,Northern Europe
8,ablaze,"National Security Minister, Kan Dapaah's side chic has set the internet ablaze with her latest powerful video.… https://t.co/rhzOMQVSlj",0,Ghana,Africa,Sub-Saharan Africa
14,ablaze,"AMEN! Set the whole system ablaze, man. https://t.co/J08xHDcGbD",0,United States,Americas,Northern America
22,ablaze,"#ThankfulTuesday Isaiah 43:2 When you pass through the waters, I will be with you; and when you pass through the r… https://t.co/jEp3L1oU36",0,Italy,Europe,Southern Europe
27,ablaze,"Another public market in #Haiti mysteriously set ablaze. The independent merchants, who are overwhelmingly women, become…",1,Cuba,Americas,Latin America and the Caribbean
31,ablaze,"Marivan, Kurdistan Province Monday, Jan 13th, 2020 Protesters set the propaganda banner of #QassemSoleimani ablaze… https://t.co/IVGCYJZlmK",1,United States,Americas,Northern America
32,ablaze,How can you turn a blind eye to the icident of setting ablaze more than 50 houses of H… https://t.co/UD84oQxg9K,1,India,Asia,Southern Asia
33,ablaze,"This love is so completely crazy. You've been fucking with my dreams, ripped me like your torn up jeans. I don't ev… https://t.co/GCVYW5eZkb",0,Argentina,Americas,Latin America and the Caribbean
35,accident,"📷 Heartfelt appreciation to Prime Minister YAB Tun Dr. wife, YABhg. Tun Dr. Siti Hasmah Mohd Ali fo… https://t.co/YOwUp1BYUP",0,Malaysia,Asia,South-eastern Asia
37,accident,❤️❤️❤️ he gave us everything... He had a horrible foot infection once so wore one thong… https://t.co/mA9sFl6Shw,0,Australia,Oceania,Australia and New Zealand
38,accident,"😁yeah! His new swag is on point 100%, since the accident! Like this is a totally transformed Bob…",0,Nigeria,Africa,Sub-Saharan Africa
